36,12,"aka","AERO-CARIBBEAN",-0- 
173,57,"aka","AVIA IMPORT",-0- 
306,220,"aka","NATIONAL BANK OF CUBA",-0- 
540,471,"aka","COIBA",-0- 
552,475,"aka","CRYMSA",-0- 
555,477,"aka","COPROVA",-0- 
555,478,"aka","COPROVA SARL",-0- 
559,481,"aka","CIMEX",-0- 
